0.99617 -89.78527 0.07
1.00149 -89.78527 0.07
1.00681 -89.78527 0.07
1.01213 -89.78527 0.07
1.01745 -89.78527 0.07
1.02277 -89.78527 0.07
1.02809 -89.78527 0.07
1.03341 -89.78527 0.07
1.03873 -89.78528 0.07
1.04405 -89.78528 0.07
1.04937 -89.78528 0.07
1.05469 -89.78528 0.07
1.06001 -89.78528 0.07
1.06532 -89.78528 0.07
1.07064 -89.78528 0.07
1.07596 -89.78528 0.07

0 -89.78528 0.07
0.00537 -89.78527 0.07
0.01075 -89.78527 0.07
0.01612 -89.78527 0.07
0.0215 -89.78527 0.07
0.02687 -89.78527 0.07
0.03225 -89.78527 0.07
0.03762 -89.78527 0.07
0.043 -89.78527 0.07
0.04837 -89.78527 0.07
0.05374 -89.78527 0.07
0.05912 -89.78527 0.07
0.06449 -89.78527 0.07
0.06987 -89.78527 0.07
0.07524 -89.78527 0.07
0.08062 -89.78527 0.07
0.08599 -89.78527 0.07
0.09137 -89.78527 0.07
0.09674 -89.78527 0.07
0.10211 -89.78527 0.07
0.10749 -89.78527 0.07
0.11286 -89.78527 0.07
0.11824 -89.78527 0.07
0.12361 -89.78527 0.07
0.12899 -89.78527 0.07
0.13436 -89.78527 0.07
0.13974 -89.78527 0.07
0.14511 -89.78527 0.07
0.15049 -89.78527 0.07
0.15586 -89.78527 0.07
0.16123 -89.78527 0.07
0.16661 -89.78527 0.07
0.17198 -89.78527 0.07
0.17736 -89.78527 0.07
0.18273 -89.78527 0.07
0.18811 -89.78528 0.07
0.19348 -89.78527 0.07
0.19886 -89.78528 0.07
0.20423 -89.78528 0.07
0.2096 -89.78528 0.07
0.21498 -89.78528 0.07
0.22035 -89.78528 0.07
0.22573 -89.78528 0.07
0.2311 -89.78528 0.07
0.23647 -89.78528 0.07
0.24185 -89.78528 0.07
0.24722 -89.78528 0.07
0.25259 -89.78528 0.07
0.25796 -89.78528 0.07
0.26334 -89.78528 0.07
0.26871 -89.78528 0.07
0.27408 -89.78527 0.07
0.27946 -89.78527 0.07
0.28483 -89.78527 0.07
0.29021 -89.78528 0.07
0.29558 -89.78528 0.07
0.30095 -89.78528 0.07
0.30633 -89.78528 0.07
0.3117 -89.78528 0.07
0.31707 -89.78528 0.07
0.32244 -89.78527 0.07
0.32782 -89.78527 0.07
0.33319 -89.78527 0.07
0.33856 -89.78527 0.07
0.34394 -89.78527 0.07
0.34931 -89.78527 0.07
0.35469 -89.78527 0.07
0.36006 -89.78527 0.07
0.36543 -89.78527 0.07
0.37081 -89.78527 0.07
0.37618 -89.78526 0.07
0.38155 -89.78525 0.07
0.38693 -89.78525 0.07
0.3923 -89.78525 0.07
0.39767 -89.78525 0.07
0.40304 -89.78525 0.07
0.40842 -89.78526 0.07
0.41379 -89.78526 0.07
0.41917 -89.78526 0.07
0.42454 -89.78526 0.07
0.42991 -89.78526 0.07
0.43529 -89.78526 0.07
0.44066 -89.78526 0.07
0.44603 -89.78526 0.07
0.45141 -89.78526 0.07
0.45678 -89.78526 0.07
0.46215 -89.78525 0.07
0.46752 -89.78526 0.07
0.4729 -89.78527 0.07
0.47827 -89.78527 0.07
0.48361 -89.78527 0.07
0.48894 -89.78525 0.07
0.49427 -89.78525 0.07
0.49961 -89.78525 0.07
0.50494 -89.78525 0.07
0.51027 -89.78525 0.07
0.51561 -89.78526 0.07
0.52094 -89.78526 0.07
0.52628 -89.78526 0.07
0.53161 -89.78525 0.07
0.53694 -89.78525 0.07
0.54228 -89.78525 0.07
0.54761 -89.78525 0.07
0.55294 -89.78526 0.07
0.55828 -89.78526 0.07
0.56361 -89.78526 0.07
0.56895 -89.78526 0.07
0.57428 -89.78526 0.07
0.57961 -89.78526 0.07
0.58495 -89.78526 0.07
0.59028 -89.78526 0.07
0.59561 -89.78526 0.07
0.60095 -89.78526 0.07
0.60628 -89.78526 0.07
0.61162 -89.78527 0.07
0.61695 -89.78526 0.07
0.62228 -89.78526 0.07
0.62762 -89.78526 0.07
0.63295 -89.78526 0.07
0.63829 -89.78526 0.07
0.64362 -89.78526 0.07
0.64895 -89.78526 0.07
0.65429 -89.78527 0.07
0.65962 -89.78527 0.07
0.66496 -89.78527 0.07
0.67029 -89.78527 0.07
0.67562 -89.78527 0.07
0.68096 -89.78527 0.07
0.68629 -89.78527 0.07
0.69162 -89.78527 0.07
0.69696 -89.78527 0.07
0.70229 -89.78527 0.07
0.70763 -89.78527 0.07
0.71296 -89.78527 0.07
0.71829 -89.78527 0.07
0.72363 -89.78527 0.07
0.72896 -89.78527 0.07
0.7343 -89.78528 0.07
0.73963 -89.78528 0.07
0.74496 -89.78527 0.07
0.7503 -89.78526 0.07
0.75563 -89.78526 0.07
0.76096 -89.78526 0.07
0.7663 -89.78526 0.07
0.77163 -89.78526 0.07
0.77697 -89.78526 0.07
0.7823 -89.78526 0.07
0.78767 -89.78526 0.07
0.79305 -89.78526 0.07
0.79842 -89.78526 0.07
0.8038 -89.78526 0.07
0.80917 -89.78526 0.07
0.81454 -89.78526 0.07
0.81992 -89.78526 0.07
0.82529 -89.78526 0.07
0.83067 -89.78526 0.07
0.83604 -89.78526 0.07
0.84142 -89.78526 0.07
0.84679 -89.78527 0.07
0.85217 -89.78527 0.07
0.85754 -89.78527 0.07
0.86292 -89.78527 0.07
0.86829 -89.78527 0.07
0.87366 -89.78527 0.07
0.87904 -89.78526 0.07
0.88441 -89.78526 0.07
0.88979 -89.78527 0.07
0.89511 -89.78526 0.07
0.90043 -89.78526 0.07
0.90575 -89.78527 0.07
0.91106 -89.78527 0.07
0.91638 -89.78527 0.07
0.9217 -89.78527 0.07
0.92702 -89.78527 0.07
0.93234 -89.78527 0.07
0.93766 -89.78527 0.07
0.94298 -89.78527 0.07
0.9483 -89.78527 0.07
0.95362 -89.78527 0.07
0.95894 -89.78527 0.07
0.96426 -89.78527 0.07
0.96958 -89.78527 0.07
0.9749 -89.78527 0.07
0.98022 -89.78527 0.07
0.98553 -89.78527 0.07
0.99085 -89.78527 0.07
0.99617 -89.78527 0.07
1.00149 -89.78527 0.07
1.00681 -89.78527 0.07
1.01213 -89.78527 0.07
1.01745 -89.78527 0.07
1.02277 -89.78527 0.07
1.02809 -89.78527 0.07
1.03341 -89.78527 0.07
1.03873 -89.78528 0.07
1.04405 -89.78528 0.07
1.04937 -89.78528 0.07
1.05469 -89.78528 0.07
1.06001 -89.78528 0.07
1.06532 -89.78528 0.07
1.07064 -89.78528 0.07
1.07596 -89.78528 0.07

0 -70.15773 0.07
0.00537 -70.15764 0.07
0.01075 -70.15761 0.07
0.01612 -70.15762 0.07
0.0215 -70.15762 0.07
0.02687 -70.15762 0.07
0.03225 -70.15763 0.07
0.03762 -70.15758 0.07
0.043 -70.15753 0.07
0.04837 -70.15761 0.07
0.05374 -70.1576 0.07
0.05912 -70.15761 0.07
0.06449 -70.15755 0.07
0.06987 -70.15757 0.07
0.07524 -70.15757 0.07
0.08062 -70.15759 0.07
0.08599 -70.15759 0.07
0.09137 -70.1575 0.07
0.09674 -70.15748 0.07
0.10211 -70.15752 0.07
0.10749 -70.15752 0.07
0.11286 -70.15752 0.07
0.11824 -70.1575 0.07
0.12361 -70.15752 0.07
0.12899 -70.15752 0.07
0.13436 -70.15748 0.07
0.13974 -70.15748 0.07
0.14511 -70.15743 0.07
0.15049 -70.15743 0.07
0.15586 -70.15747 0.07
0.16123 -70.1575 0.07
0.16661 -70.15747 0.07
0.17198 -70.15751 0.07
0.17736 -70.15749 0.07
0.18273 -70.1575 0.07
0.18811 -70.15763 0.07
0.19348 -70.15762 0.07
0.19886 -70.15772 0.07
0.20423 -70.15774 0.07
0.2096 -70.15777 0.07
0.21498 -70.15777 0.07
0.22035 -70.15777 0.07
0.22573 -70.15755 0.07
0.2311 -70.15756 0.07
0.23647 -70.15748 0.07
0.24185 -70.15748 0.07
0.24722 -70.15747 0.07
0.25259 -70.15747 0.07
0.25796 -70.15748 0.07
0.26334 -70.15748 0.07
0.26871 -70.15749 0.07
0.27408 -70.15749 0.07
0.27946 -70.15749 0.07
0.28483 -70.15749 0.07
0.29021 -70.1576 0.07
0.29558 -70.1576 0.07
0.30095 -70.15766 0.07
0.30633 -70.15767 0.07
0.3117 -70.15762 0.07
0.31707 -70.15785 0.07
0.32244 -70.1577 0.07
0.32782 -70.15771 0.07
0.33319 -70.15771 0.07
0.33856 -70.15771 0.07
0.34394 -70.15747 0.07
0.34931 -70.15744 0.07
0.35469 -70.15744 0.07
0.36006 -70.15743 0.07
0.36543 -70.15742 0.07
0.37081 -70.15742 0.07
0.37618 -70.1574 0.07
0.38155 -70.1574 0.07
0.38693 -70.1574 0.07
0.3923 -70.15741 0.07
0.39767 -70.15741 0.07
0.40304 -70.1574 0.07
0.40842 -70.15751 0.07
0.41379 -70.1575 0.07
0.41917 -70.1575 0.07
0.42454 -70.15749 0.07
0.42991 -70.15749 0.07
0.43529 -70.15749 0.07
0.44066 -70.15748 0.07
0.44603 -70.15748 0.07
0.45141 -70.15778 0.07
0.45678 -70.15777 0.07
0.46215 -70.15776 0.07
0.46752 -70.15795 0.07
0.4729 -70.15843 0.07
0.47827 -70.15846 0.07
0.48361 -70.15846 0.07
0.48894 -70.15779 0.07
0.49427 -70.1578 0.07
0.49961 -70.15746 0.07
0.50494 -70.15747 0.07
0.51027 -70.15747 0.07
0.51561 -70.15749 0.07
0.52094 -70.15749 0.07
0.52628 -70.1575 0.07
0.53161 -70.15745 0.07
0.53694 -70.15745 0.07
0.54228 -70.15746 0.07
0.54761 -70.15746 0.07
0.55294 -70.15746 0.07
0.55828 -70.15747 0.07
0.56361 -70.15748 0.07
0.56895 -70.15748 0.07
0.57428 -70.15749 0.07
0.57961 -70.1575 0.07
0.58495 -70.15751 0.07
0.59028 -70.15751 0.07
0.59561 -70.15752 0.07
0.60095 -70.15752 0.07
0.60628 -70.15752 0.07
0.61162 -70.15767 0.07
0.61695 -70.15758 0.07
0.62228 -70.15758 0.07
0.62762 -70.15758 0.07
0.63295 -70.15758 0.07
0.63829 -70.15758 0.07
0.64362 -70.15758 0.07
0.64895 -70.15758 0.07
0.65429 -70.15762 0.07
0.65962 -70.15762 0.07
0.66496 -70.15763 0.07
0.67029 -70.15763 0.07
0.67562 -70.15763 0.07
0.68096 -70.15763 0.07
0.68629 -70.15762 0.07
0.69162 -70.15762 0.07
0.69696 -70.15762 0.07
0.70229 -70.15762 0.07
0.70763 -70.15761 0.07
0.71296 -70.15763 0.07
0.71829 -70.15762 0.07
0.72363 -70.15761 0.07
0.72896 -70.15761 0.07
0.7343 -70.1579 0.07
0.73963 -70.1579 0.07
0.74496 -70.15789 0.07
0.7503 -70.15789 0.07
0.75563 -70.15789 0.07
0.76096 -70.158 0.07
0.7663 -70.158 0.07
0.77163 -70.158 0.07
0.77697 -70.158 0.07
0.7823 -70.158 0.07
0.78767 -70.158 0.07
0.79305 -70.158 0.07
0.79842 -70.15799 0.07
0.8038 -70.15795 0.07
0.80917 -70.15795 0.07
0.81454 -70.15782 0.07
0.81992 -70.15762 0.07
0.82529 -70.15766 0.07
0.83067 -70.15766 0.07
0.83604 -70.15766 0.07
0.84142 -70.15766 0.07
0.84679 -70.15767 0.07
0.85217 -70.15767 0.07
0.85754 -70.15767 0.07
0.86292 -70.15766 0.07
0.86829 -70.15766 0.07
0.87366 -70.15766 0.07
0.87904 -70.15752 0.07
0.88441 -70.15752 0.07
0.88979 -70.15761 0.07
0.89511 -70.15754 0.07
0.90043 -70.15754 0.07
0.90575 -70.1576 0.07
0.91106 -70.15766 0.07
0.91638 -70.1576 0.07
0.9217 -70.15761 0.07
0.92702 -70.15757 0.07
0.93234 -70.15757 0.07
0.93766 -70.15757 0.07
0.94298 -70.15757 0.07
0.9483 -70.1576 0.07
0.95362 -70.1576 0.07
0.95894 -70.15765 0.07
0.96426 -70.15765 0.07
0.96958 -70.15761 0.07
0.9749 -70.15756 0.07
0.98022 -70.15756 0.07
0.98553 -70.15761 0.07
0.99085 -70.15761 0.07
0.99617 -70.15749 0.07
1.00149 -70.15752 0.07
1.00681 -70.15752 0.07
1.01213 -70.15752 0.07
1.01745 -70.15752 0.07
1.02277 -70.15749 0.07
1.02809 -70.15751 0.07
1.03341 -70.15751 0.07
1.03873 -70.15752 0.07
1.04405 -70.1576 0.07
1.04937 -70.15773 0.07
1.05469 -70.15771 0.07
1.06001 -70.15771 0.07
1.06532 -70.15776 0.07
1.07064 -70.15777 0.07
1.07596 -70.15777 0.07

0 -70.15773 0.07
0.00537 -70.15764 0.07
0.01075 -70.15761 0.07
0.01612 -70.15762 0.07
0.0215 -70.15762 0.07
0.02687 -70.15762 0.07
0.03225 -70.15763 0.07
0.03762 -70.15758 0.07
0.043 -70.15753 0.07
0.04837 -70.15761 0.07
0.05374 -70.1576 0.07
0.05912 -70.15761 0.07
0.06449 -70.15755 0.07
0.06987 -70.15757 0.07
0.07524 -70.15757 0.07
0.08062 -70.15759 0.07
0.08599 -70.15759 0.07
0.09137 -70.1575 0.07
0.09674 -70.15748 0.07
0.10211 -70.15752 0.07
0.10749 -70.15752 0.07
0.11286 -70.15752 0.07
0.11824 -70.1575 0.07
0.12361 -70.15752 0.07
0.12899 -70.15752 0.07
0.13436 -70.15748 0.07
0.13974 -70.15748 0.07
0.14511 -70.15743 0.07
0.15049 -70.15743 0.07
0.15586 -70.15747 0.07
0.16123 -70.1575 0.07
0.16661 -70.15747 0.07
0.17198 -70.15751 0.07
0.17736 -70.15749 0.07
0.18273 -70.1575 0.07
0.18811 -70.15763 0.07
0.19348 -70.15762 0.07
0.19886 -70.15772 0.07
0.20423 -70.15774 0.07
0.2096 -70.15777 0.07
0.21498 -70.15777 0.07
0.22035 -70.15777 0.07
0.22573 -70.15755 0.07
0.2311 -70.15756 0.07
0.23647 -70.15748 0.07
0.24185 -70.15748 0.07
0.24722 -70.15747 0.07
0.25259 -70.15747 0.07
0.25796 -70.15748 0.07
0.26334 -70.15748 0.07
0.26871 -70.15749 0.07
0.27408 -70.15749 0.07
0.27946 -70.15749 0.07
0.28483 -70.15749 0.07
0.29021 -70.1576 0.07
0.29558 -70.1576 0.07
0.30095 -70.15766 0.07
0.30633 -70.15767 0.07
0.3117 -70.15762 0.07
0.31707 -70.15785 0.07
0.32244 -70.1577 0.07
0.32782 -70.15771 0.07
0.33319 -70.15771 0.07
0.33856 -70.15771 0.07
0.34394 -70.15747 0.07
0.34931 -70.15744 0.07
0.35469 -70.15744 0.07
0.36006 -70.15743 0.07
0.36543 -70.15742 0.07
0.37081 -70.15742 0.07
0.37618 -70.1574 0.07
0.38155 -70.1574 0.07
0.38693 -70.1574 0.07
0.3923 -70.15741 0.07
0.39767 -70.1574 0.07
0.40304 -70.1574 0.07
0.40842 -70.15751 0.07
0.41379 -70.1575 0.07
0.41917 -70.1575 0.07
0.42454 -70.15749 0.07
0.42991 -70.15749 0.07
0.43529 -70.15749 0.07
0.44066 -70.15748 0.07
0.44603 -70.15748 0.07
0.45141 -70.15778 0.07
0.45678 -70.15777 0.07
0.46215 -70.15776 0.07
0.46752 -70.15795 0.07
0.4729 -70.15843 0.07
0.47827 -70.15846 0.07
0.48361 -70.15846 0.07
0.48894 -70.15779 0.07
0.49427 -70.1578 0.07
0.49961 -70.15746 0.07
0.50494 -70.15747 0.07
0.51027 -70.15747 0.07
0.51561 -70.15749 0.07
0.52094 -70.15749 0.07
0.52628 -70.1575 0.07
0.53161 -70.15745 0.07
0.53694 -70.15745 0.07
0.54228 -70.15746 0.07
0.54761 -70.15746 0.07
0.55294 -70.15746 0.07
0.55828 -70.15747 0.07
0.56361 -70.15748 0.07
0.56895 -70.15748 0.07
0.57428 -70.15749 0.07
0.57961 -70.1575 0.07
0.58495 -70.15751 0.07
0.59028 -70.15751 0.07
0.59561 -70.15752 0.07
0.60095 -70.15752 0.07
0.60628 -70.15752 0.07
0.61162 -70.15767 0.07
0.61695 -70.15758 0.07
0.62228 -70.15758 0.07
0.62762 -70.15758 0.07
0.63295 -70.15758 0.07
0.63829 -70.15758 0.07
0.64362 -70.15758 0.07
0.64895 -70.15758 0.07
0.65429 -70.15762 0.07
0.65962 -70.15762 0.07
0.66496 -70.15763 0.07
0.67029 -70.15763 0.07
0.67562 -70.15763 0.07
0.68096 -70.15763 0.07
0.68629 -70.15762 0.07
0.69162 -70.15762 0.07
0.69696 -70.15762 0.07
0.70229 -70.15762 0.07
0.70763 -70.15761 0.07
0.71296 -70.15763 0.07
0.71829 -70.15762 0.07
0.72363 -70.15761 0.07
0.72896 -70.15761 0.07
0.7343 -70.1579 0.07
0.73963 -70.1579 0.07
0.74496 -70.15789 0.07
0.7503 -70.15789 0.07
0.75563 -70.15789 0.07
0.76096 -70.158 0.07
0.7663 -70.158 0.07
0.77163 -70.158 0.07
0.77697 -70.158 0.07
0.7823 -70.158 0.07
0.78767 -70.158 0.07
0.79305 -70.158 0.07
0.79842 -70.15799 0.07
0.8038 -70.15795 0.07
0.80917 -70.15795 0.07
0.81454 -70.15782 0.07
0.81992 -70.15762 0.07
0.82529 -70.15766 0.07
0.83067 -70.15766 0.07
0.83604 -70.15766 0.07
0.84142 -70.15766 0.07
0.84679 -70.15767 0.07
0.85217 -70.15767 0.07
0.85754 -70.15767 0.07
0.86292 -70.15766 0.07
0.86829 -70.15766 0.07
0.87366 -70.15766 0.07
0.87904 -70.15752 0.07
0.88441 -70.15752 0.07
0.88979 -70.15761 0.07
0.89511 -70.15754 0.07
0.90043 -70.15754 0.07
0.90575 -70.1576 0.07
0.91106 -70.15766 0.07
0.91638 -70.1576 0.07
0.9217 -70.15761 0.07
0.92702 -70.15757 0.07
0.93234 -70.15757 0.07
0.93766 -70.15757 0.07
0.94298 -70.15757 0.07
0.9483 -70.1576 0.07
0.95362 -70.1576 0.07
0.95894 -70.15765 0.07
0.96426 -70.15765 0.07
0.96958 -70.15761 0.07
0.9749 -70.15756 0.07
0.98022 -70.15756 0.07
0.98553 -70.15761 0.07
0.99085 -70.15761 0.07
0.99617 -70.15749 0.07
1.00149 -70.15752 0.07
1.00681 -70.15752 0.07
1.01213 -70.15752 0.07
1.01745 -70.15752 0.07
1.02277 -70.15749 0.07
1.02809 -70.15751 0.07
1.03341 -70.15751 0.07
1.03873 -70.15752 0.07
1.04405 -70.1576 0.07
1.04937 -70.15773 0.07
1.05469 -70.15771 0.07
1.06001 -70.15771 0.07
1.06532 -70.15776 0.07
1.07064 -70.15777 0.07
1.07596 -70.15777 0.07

0 -70.15771 0.07
0.00537 -70.15762 0.07
0.01075 -70.1576 0.07
0.01612 -70.1576 0.07
0.0215 -70.1576 0.07
0.02687 -70.1576 0.07
0.03225 -70.15762 0.07
0.03762 -70.15756 0.07
0.043 -70.15751 0.07
0.04837 -70.15759 0.07
0.05374 -70.15759 0.07
0.05912 -70.15759 0.07
0.06449 -70.15754 0.07
0.06987 -70.15755 0.07
0.07524 -70.15756 0.07
0.08062 -70.15758 0.07
0.08599 -70.15758 0.07
0.09137 -70.15749 0.07
0.09674 -70.15747 0.07
0.10211 -70.1575 0.07
0.10749 -70.1575 0.07
0.11286 -70.1575 0.07
0.11824 -70.15748 0.07
0.12361 -70.15751 0.07
0.12899 -70.15751 0.07
0.13436 -70.15747 0.07
0.13974 -70.15747 0.07
0.14511 -70.15742 0.07
0.15049 -70.15742 0.07
0.15586 -70.15747 0.07
0.16123 -70.15749 0.07
0.16661 -70.15747 0.07
0.17198 -70.1575 0.07
0.17736 -70.15749 0.07
0.18273 -70.15749 0.07
0.18811 -70.15763 0.07
0.19348 -70.15762 0.07
0.19886 -70.15771 0.07
0.20423 -70.15773 0.07
0.2096 -70.15776 0.07
0.21498 -70.15776 0.07
0.22035 -70.15776 0.07
0.22573 -70.15754 0.07
0.2311 -70.15755 0.07
0.23647 -70.15745 0.07
0.24185 -70.15746 0.07
0.24722 -70.15746 0.07
0.25259 -70.15747 0.07
0.25796 -70.15746 0.07
0.26334 -70.15746 0.07
0.26871 -70.15746 0.07
0.27408 -70.15746 0.07
0.27946 -70.15746 0.07
0.28483 -70.15745 0.07
0.29021 -70.15753 0.07
0.29558 -70.15752 0.07
0.30095 -70.1576 0.07
0.30633 -70.1576 0.07
0.3117 -70.15758 0.07
0.31707 -70.15759 0.07
0.32244 -70.1575 0.07
0.32782 -70.15751 0.07
0.33319 -70.1575 0.07
0.33856 -70.1575 0.07
0.34394 -70.15743 0.07
0.34931 -70.15742 0.07
0.35469 -70.15743 0.07
0.36006 -70.15739 0.07
0.36543 -70.1574 0.07
0.37081 -70.1574 0.07
0.37618 -70.15736 0.07
0.38155 -70.15735 0.07
0.38693 -70.15735 0.07
0.3923 -70.15734 0.07
0.39767 -70.15733 0.07
0.40304 -70.15732 0.07
0.40842 -70.15748 0.07
0.41379 -70.15748 0.07
0.41917 -70.15748 0.07
0.42454 -70.15748 0.07
0.42991 -70.15747 0.07
0.43529 -70.15746 0.07
0.44066 -70.15746 0.07
0.44603 -70.15746 0.07
0.45141 -70.1576 0.07
0.45678 -70.15759 0.07
0.46215 -70.15758 0.07
0.46752 -70.15766 0.07
0.4729 -70.15826 0.07
0.47827 -70.15846 0.07
0.48361 -70.15845 0.07
0.48894 -70.15761 0.07
0.49427 -70.15762 0.07
0.49961 -70.15745 0.07
0.50494 -70.15746 0.07
0.51027 -70.15747 0.07
0.51561 -70.15748 0.07
0.52094 -70.15749 0.07
0.52628 -70.15749 0.07
0.53161 -70.15742 0.07
0.53694 -70.15743 0.07
0.54228 -70.15744 0.07
0.54761 -70.15745 0.07
0.55294 -70.15746 0.07
0.55828 -70.15746 0.07
0.56361 -70.15746 0.07
0.56895 -70.15746 0.07
0.57428 -70.15745 0.07
0.57961 -70.15745 0.07
0.58495 -70.15744 0.07
0.59028 -70.15744 0.07
0.59561 -70.15743 0.07
0.60095 -70.15743 0.07
0.60628 -70.15742 0.07
0.61162 -70.15757 0.07
0.61695 -70.15755 0.07
0.62228 -70.15755 0.07
0.62762 -70.15755 0.07
0.63295 -70.15755 0.07
0.63829 -70.15753 0.07
0.64362 -70.15753 0.07
0.64895 -70.15753 0.07
0.65429 -70.15758 0.07
0.65962 -70.15758 0.07
0.66496 -70.15757 0.07
0.67029 -70.15756 0.07
0.67562 -70.15756 0.07
